"Field name","Question number","Max field length","Minimum Value","Maximum value","Data type","Control type","Item values"
"Site name","{n/a}","100","","","varchar(100)","{n/a}",""
"CaseId"," - ","","","","int","{n/a}",""
"SiteCode"," - ","10","","","varchar(10)","{n/a}",""
"ImportId"," - ","","","","int","{n/a}",""
"ImportIdentifier"," - ","50","","","nvarchar(50)","{n/a}",""
"CreatedDateTime"," - ","","","","datetime","{n/a}",""
"CreatedUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"UpdatedDateTime"," - ","","","","datetime","{n/a}",""
"UpdatedUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"Locked"," - ","","","","bit","{n/a}",""
"LockedDateTime"," - ","","","","datetime","{n/a}",""
"LockedUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"RecordStatus"," - ","","","","int","Radio button list","10 = Complete; 20 = Incomplete; 30 = Errors; 0 = Not saved"
"TransferToActionDateTime"," - ","","","","datetime","{n/a}",""
"TransferToActionUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"TransferToDateTime"," - ","","","","datetime","{n/a}",""
"TransferToSiteCode"," - ","10","","","varchar(10)","{n/a}",""
"TransferToCaseId"," - ","","","","int","{n/a}",""
"TransferFromActionDateTime"," - ","","","","datetime","{n/a}",""
"TransferFromActionUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"TransferFromDateTime"," - ","","","","datetime","{n/a}",""
"TransferFromSiteCode"," - ","10","","","varchar(10)","{n/a}",""
"TransferFromCaseId"," - ","","","","int","{n/a}",""
"OriginalSiteCode"," - ","10","","","varchar(10)","{n/a}",""
"Closed"," - ","","","","bit","{n/a}",""
"S01SectionStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"S01NHSPatient","Q. 1.1","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S01NHSCHINumber","Q. 1.2","10","","","varchar(10)","Textbox",""
"S01FirstName","Q. 1.3","100","","","varchar(100)","Textbox",""
"S01Surname","Q. 1.4","100","","","varchar(100)","Textbox",""
"S01Gender","Q. 1.5","","","","varchar(3)","Radio button list","M = Male; F = Female; NK = Not known"
"S01DOB","Q. 1.6","","","","datetime","Date",""
"S01FirstEEG","Q. 1.7","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S01FirstEEGDate","Q. 1.8","","","","datetime","Date",""
"S01FirstEEGIndicated","Q. 1.9","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S01AssessmentForTheParoxysmalHere","Q. 1.10","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S01ReferringHospital","Q. 1.11","150","","","varchar(150)","Textbox",""
"S01ReferringPerson","Q. 1.12","150","","","varchar(150)","Textbox",""
"S01TrustVerify","Q. hide","3","","","varchar(3)","Combo box","REG = Registered; VFD = Trust Verified; NYV = Not yet verified; EX1 = Excluded (Registration); EX2 = Excluded (Verification); POO = Patient opt out"
"S01DiagnosisStatus","Q. hide","3","","","varchar(3)","Combo box","E = Epilepsy; NE = Non-epilepsy; U = Uncertain"
"S01EEGCaseId"," - ","","","","int","{n/a}",""
"S02SectionStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"S02ParoxysmalEpisode","Q. 2.1","","","","varchar(4)","Radio button list","Y = Yes; N = No"
"S02EEGAssessments","Q. 2.2","","","","varchar(4)","Radio button list","Y = Yes; N = No"
"S02FirstAssessmentsDate","Q. 2.3","","","","datetime","Date",""
"S02Cohort","Q. Hide","","","","int","Combo box","1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = 10"
"S02HomePostcodeOut","Q. 2.4","4","","","varchar(4)","Textbox",""
"S02HomePostcodeIn","Q. 2.4i","3","","","varchar(3)","Textbox",""
"S02GPCode","Q. Hide","10","","","varchar(10)","{n/a}",""
"S02GPPostcodeOut","Q. 2.5","4","","","varchar(4)","Textbox",""
"S02GPPostcodeIn","Q. 2.5i","3","","","varchar(3)","Textbox",""
"S02TrustEmailSent","Q. 2.6","3","","","varchar(3)","{n/a}",""
