"Field name","Question number","Max field length","Minimum Value","Maximum value","Data type","Control type","Item values"
"OtherId"," - ","","","","int","{n/a}",""
"UpdateId"," - ","","","","int","{n/a}",""
"ImportId"," - ","","","","int","{n/a}",""
"ImportIdentifier"," - ","50","","","nvarchar(50)","{n/a}",""
"CreatedDateTime"," - ","","","","datetime","{n/a}",""
"CreatedUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"UpdatedDateTime"," - ","","","","datetime","{n/a}",""
"UpdatedUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"Locked"," - ","","","","bit","{n/a}",""
"LockedDateTime"," - ","","","","datetime","{n/a}",""
"LockedUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"RecordStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"TransferToActionDateTime"," - ","","","","datetime","{n/a}",""
"TransferToActionUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"TransferToDateTime"," - ","","","","datetime","{n/a}",""
"TransferToSiteCode"," - ","10","","","varchar(10)","{n/a}",""
"TransferToCaseId"," - ","","","","int","{n/a}",""
"TransferFromActionDateTime"," - ","","","","datetime","{n/a}",""
"TransferFromActionUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"TransferFromDateTime"," - ","","","","datetime","{n/a}",""
"TransferFromSiteCode"," - ","10","","","varchar(10)","{n/a}",""
"TransferFromCaseId"," - ","","","","int","{n/a}",""
"Closed"," - ","","","","bit","{n/a}",""
"SEIZSectionStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"SEIZDateOfOnsetApproxExactNK","Q. 1","","","","varchar(3)","Radio button list","Apx = Approximate date; Exc = Exact date; NK = Not known"
"SEIZDateOfOnset","Q. 1i","","","","datetime","Date",""
"SEIZDescriptionOfEvent","Q. 2","250","","","varchar(250)","Textbox",""
"SEIZEpilepticOrNonEpilepticOrUncertain","Q. 3","","","","varchar(3)","Radio button list","Ep = Epileptic; NEp = Non-epileptic; Unc = Uncertain"
"SEIZEpilepticSeizureType","Q. 31","","","","varchar(3)","Radio button list","FO = Focal onset; GO = Generalised onset; UO = Unknown onset; UC = Unclassified"
"SEIZNonEpilepticSeizureType","Q. 32","","","","varchar(3)","Radio button list","SAS = Syncope And Anoxic Seizures; BPP = Behavioral Psychological And Psychiatric Disorders; SRC = Sleep Related Conditions; PMD = Paroxysmal Movement Disorders; MAD = Migraine Associated Disorders; ME = Miscellaneous Events; Oth = Other"
"SEIZEpilepticSeizureTypeFOImpAware","Q. 311i","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOAutomatisms","Q. 311ii","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOAtonic","Q. 311iii","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOClonic","Q. 311iv","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOLeft","Q. 311v","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFORight","Q. 311vi","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOEpilepticSpasms","Q. 311vii","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOHyperkinetic","Q. 311viii","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOMyoclonic","Q. 311ix","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOTonic","Q. 311x","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOAutonomic","Q. 311xi","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOBehaviourArrest","Q. 311xii","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOCognitive","Q. 311xiii","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOEmotional","Q. 311xiv","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOSensory","Q. 311xv","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOCentroTemporal","Q. 311xvi","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOTemporal","Q. 311xvii","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOFrontal","Q. 311xviii","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOParietal","Q. 311xix","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOOccipital","Q. 311xx","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOGelastic","Q. 311xxi","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOFocaltoBilateralTonicClonic","Q. 311xxii","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOOther","Q. 311xxiii","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"SEIZEpilepticSeizureTypeFOOtherDetails","Q. 311xxiiii","250","","","varchar(250)","Textbox",""
"SEIZEpilepticSeizureTypeGeneralisedOnset","Q. 312","","","","varchar(3)","Radio button list","TCl = Tonic-clonic; Clo = Clonic; Ton = Tonic; MyC = Myoclonic; MTC = Myoclonic-tonic-clonic; MAt = Myoclonic-atonic; Ato = Atonic; EpS = Epileptic spasms; TAb = Typical absence; Aab = Atypical absence; MAb = Myoclonic absence; AEM = Absence with eyelid myoclonia; Oth = Other"
"SEIZEpilepticSeizureTypeGeneralisedOnsetOtherDetails","Q. 312i","250","","","varchar(250)","Textbox",""
"SEIZNonEpilepticSeizureTypeUnknownOnset","Q. 313","","","","varchar(3)","Radio button list","TCl = Tonic-clonic; EpS = Epileptic spasms; BAr = Behaviour arrest; Oth = Other"
"SEIZNonEpilepticSeizureTypeUnknownOnsetOtherDetails","Q. 313i","250","","","varchar(250)","Textbox",""
"SEIZNonEpilepticSeizureTypeSyncope","Q. 32i","","","","varchar(3)","Radio button list","a = Vasovagal syncope; b = Reflex anoxic seizures; c = Breath-holding attacks; d = Hyperventilation syncope; e = Compulsive valsalva; f = Neurological syncope; g = Imposed upper airways obstruction; h = Orthostatic intolerance; i = Long QT and cardiac syncope; j = Hyper-cyanotic spells"
"SEIZNonEpilepticSeizureTypeBehavioral","Q. 32ii","","","","varchar(3)","Radio button list","a = Daydreaming /inattention; b = Infantile gratification; c = Eidetic imagery; d = Tantrums and rage reactions; e = Out of body experiences; f = Panic attacks; g = Dissociative states; h = Non-epileptic seizures; i = Hallucinations in psychiatric disorders; j = Fabricated / factitious illness"
"SEIZNonEpilepticSeizureTypeSleep","Q. 32iii","","","","varchar(3)","Radio button list","a = Sleep related rhythmic movement disorders; b = Hypnogogic jerks; c = Parasomnias; d = REM sleep disorders; e = Benign neonatal sleep myoclonus; f = Periodic leg movements; g = Narcolepsy-cataplexy"
"SEIZNonEpilepticSeizureTypeParoxysmal","Q. 32iv","","","","varchar(3)","Radio button list","a = Tics; b = Stereotypies; c = Paroxysmal kinesigenic dyskinesia; d = Paroxysmal nonkinesigenic dyskinesia; e = Paroxysmal exercise induced dyskinesia; f = Benign paroxysmal tonic upgaze; g = Episodic ataxias; h = Alternating hemiplegia; i = Hyperekplexia; j = Opsoclonus-myoclonus syndrome"
"SEIZNonEpilepticSeizureTypeMigraine","Q. 32v","","","","varchar(3)","Radio button list","a = Migraine with visual aura; b = Familial hemiplegic migraine; c = Benign paroxysmal torticollis; d = Benign paroxysmal vertigo; e = Cyclical vomiting"
"SEIZNonEpilepticSeizureTypeMiscellaneous","Q. 32vi","","","","varchar(3)","Radio button list","a = Benign myoclonus of infancy and shuddering attacks; b = Jitteriness; c = Sandifer syndrome; d = Non-epileptic head drops; e = Spasmus nutans; f = Raised intracranial pressure; g = Paroxysmal extreme pain disorder; h = Spinal myoclonus"
"SEIZNonEpilepticSeizureTypeOther","Q. 32vii","250","","","varchar(250)","Textbox",""
