"Field name","Question number","Max field length","Minimum Value","Maximum value","Data type","Control type","Item values"
"OtherId"," - ","","","","int","{n/a}",""
"UpdateId"," - ","","","","int","{n/a}",""
"ImportId"," - ","","","","int","{n/a}",""
"ImportIdentifier"," - ","50","","","nvarchar(50)","{n/a}",""
"CreatedDateTime"," - ","","","","datetime","{n/a}",""
"CreatedUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"UpdatedDateTime"," - ","","","","datetime","{n/a}",""
"UpdatedUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"Locked"," - ","","","","bit","{n/a}",""
"LockedDateTime"," - ","","","","datetime","{n/a}",""
"LockedUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"RecordStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"TransferToActionDateTime"," - ","","","","datetime","{n/a}",""
"TransferToActionUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"TransferToDateTime"," - ","","","","datetime","{n/a}",""
"TransferToSiteCode"," - ","10","","","varchar(10)","{n/a}",""
"TransferToCaseId"," - ","","","","int","{n/a}",""
"TransferFromActionDateTime"," - ","","","","datetime","{n/a}",""
"TransferFromActionUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"TransferFromDateTime"," - ","","","","datetime","{n/a}",""
"TransferFromSiteCode"," - ","10","","","varchar(10)","{n/a}",""
"TransferFromCaseId"," - ","","","","int","{n/a}",""
"Closed"," - ","","","","bit","{n/a}",""
"EPISSectionStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"EPISType","Q. A","","","","varchar(3)","Radio button list","1 = Syncope And Anoxic Seizures; 2 = Behavioral Psychological And Psychiatric Disorders; 3 = Sleep Related Conditions; 4 = Paroxysmal Movement Disorders; 5 = Migraine Associated Disorders; 6 = Miscellaneous Events; 7 = Other"
"EPISSyncope","Q. B","","","","varchar(3)","Radio button list","a = Vasovagal syncope; b = Reflex anoxic seizures; c = Breath-holding attacks; d = Hyperventilation syncope; e = Compulsive valsalva; f = Neurological syncope; g = Imposed upper airways obstruction; h = Orthostatic intolerance; i = Long QT and cardiac syncope; j = Hyper-cyanotic spells"
"EPISBehavioral","Q. C","","","","varchar(3)","Radio button list","a = Daydreaming /inattention; b = Infantile gratification; c = Eidetic imagery; d = Tantrums and rage reactions; e = Out of body experiences; f = Panic attacks; g = Dissociative states; h = Non-epileptic seizures; i = Hallucinations in psychiatric disorders; j = Fabricated / factitious illness"
"EPISSleep","Q. D","","","","varchar(3)","Radio button list","a = Sleep related rhythmic movement disorders; b = Hypnogogic jerks; c = Parasomnias; d = REM sleep disorders; e = Benign neonatal sleep myoclonus; f = Periodic leg movements; g = Narcolepsy-cataplexy"
"EPISParoxysmal","Q. E","","","","varchar(3)","Radio button list","a = Tics; b = Stereotypies; c = Paroxysmal kinesigenic dyskinesia; d = Paroxysmal nonkinesigenic dyskinesia; e = Paroxysmal exercise induced dyskinesia; f = Benign paroxysmal tonic upgaze; g = Episodic ataxias; h = Alternating hemiplegia; i = Hyperekplexia; j = Opsoclonus-myoclonus syndrome"
"EPISMigraine","Q. F","","","","varchar(3)","Radio button list","a = Migraine with visual aura; b = Familial hemiplegic migraine; c = Benign paroxysmal torticollis; d = Benign paroxysmal vertigo; e = Cyclical vomiting"
"EPISMiscellaneous","Q. G","","","","varchar(3)","Radio button list","a = Benign myoclonus of infancy and shuddering attacks; b = Jitteriness; c = Sandifer syndrome; d = Non-epileptic head drops; e = Spasmus nutans; f = Raised intracranial pressure; g = Paroxysmal extreme pain disorder; h = Spinal myoclonus"
"EPISOther","Q. H","250","","","varchar(250)","Textbox",""
