"Field name","Question number","Max field length","Minimum Value","Maximum value","Data type","Control type","Item values"
"OtherId"," - ","","","","int","{n/a}",""
"UpdateId"," - ","","","","int","{n/a}",""
"ImportId"," - ","","","","int","{n/a}",""
"ImportIdentifier"," - ","50","","","nvarchar(50)","{n/a}",""
"CreatedDateTime"," - ","","","","datetime","{n/a}",""
"CreatedUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"UpdatedDateTime"," - ","","","","datetime","{n/a}",""
"UpdatedUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"Locked"," - ","","","","bit","{n/a}",""
"LockedDateTime"," - ","","","","datetime","{n/a}",""
"LockedUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"RecordStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"TransferToActionDateTime"," - ","","","","datetime","{n/a}",""
"TransferToActionUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"TransferToDateTime"," - ","","","","datetime","{n/a}",""
"TransferToSiteCode"," - ","10","","","varchar(10)","{n/a}",""
"TransferToCaseId"," - ","","","","int","{n/a}",""
"TransferFromActionDateTime"," - ","","","","datetime","{n/a}",""
"TransferFromActionUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"TransferFromDateTime"," - ","","","","datetime","{n/a}",""
"TransferFromSiteCode"," - ","10","","","varchar(10)","{n/a}",""
"TransferFromCaseId"," - ","","","","int","{n/a}",""
"Closed"," - ","","","","bit","{n/a}",""
"CAUSSectionStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"CAUSDateCauseApxExcNK","Q. 1","","","","varchar(3)","Radio button list","Apx = Approximate date; Exc = Exact date; NK = Not known"
"CAUSDateCause","Q. 1i","","","","datetime","Date",""
"CAUSMain","Q. 2","","","","varchar(3)","Radio button list","Str = Structural; Gen = Genetic; Inf = Infectious; Met = Metabolic; Imm = Immune; NK = Not known"
"CAUSSubStructural","Q. 3","","","","varchar(3)","Radio button list","TbS = Tuberous Sclerosis; StW = Sturge Weber; FCD = Focal cortical dysplasia; HyH = Hypothalamic Hamartoma; LGT = Low grade tumour; TuO = Tumour (other); MCD = Malformations of Cortical Development; Vas = Vascular (eg arterial ischaemic stroke venous ischaemia cerebral haemorrhage); TBI = Traumatic brain injury; NR = Not required"
"CAUSSubGenetic","Q. 3","","","","varchar(3)","Radio button list","DrS = Dravet syndrome; GTD = Glucose Transporter Defect; AnS = Angelman Syndrome; ReS = Rett Syndrome; ChA = Chromosomal abnormality; GeA = Gene abnormality"
"CAUSSubGeneticChromoAbno","Q. 3i","200","","","varchar(200)","Textbox",""
"CAUSSubGeneticGeneAbno","Q. 3i","","","","varchar(3)","Radio button list","UBE = UBE3A; GLU = GLUT1; SLC = SLC2A1; MEC = MECP2; SCN = SCN1A; STX = STXBP1; CDK = CDKL5; KCN = KCNQ2; SCN = SCN2A; KCN = KCNT1; ARX = ARX; FOX = FOXG1; PCD = PCDH19; GRI = GRIN2A; Oth = Other"
"CAUSSubGeneticGeneAbnoOther","Q. 3ii","250","","","varchar(250)","Textbox",""
"CAUSSubInfectious","Q. 3","250","","","varchar(250)","Textbox",""
"CAUSSubMetabolic","Q. 3","","","","varchar(3)","Radio button list","Mit = Mitochondrial disorder; Neu = Neuronal Ceroid Lipofuscinosis (Batten Disease); PPM = Disorder of pyridoxine/pyridoxal phosphate metabolism; BiM = Disorder of biotin metabolism; CrM = Disorder of creatine metabolism; AmA = Disorder of amino acid; UrA = Disorder of urea cycle; PyP = Disorder of pyrimidine and purine; Cho = Disorder of cholesterol; Oth = Other neurometabolic disorder"
"CAUSSubMetabolicOther","Q. 3i","250","","","varchar(250)","Textbox",""
"CAUSSubImmune","Q. 3","","","","varchar(3)","Radio button list","RaE = Rasmussen Encephalitis; AnM = Antibody mediated"
"CAUSSubImmuneAntibody","Q. 3i","","","","varchar(3)","Radio button list","VGK = VGKC; NMD = NMDAR; GAD = GAD; TPO = TPO; MOG = MOG; Oth = Other"
"CAUSSubImmuneAntibodyOther","Q. 3ii","250","","","varchar(250)","Textbox",""
