"Field name","Question number","Max field length","Minimum Value","Maximum value","Data type","Control type","Item values"
"OtherId"," - ","","","","int","{n/a}",""
"UpdateId"," - ","","","","int","{n/a}",""
"ImportId"," - ","","","","int","{n/a}",""
"ImportIdentifier"," - ","50","","","nvarchar(50)","{n/a}",""
"CreatedDateTime"," - ","","","","datetime","{n/a}",""
"CreatedUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"UpdatedDateTime"," - ","","","","datetime","{n/a}",""
"UpdatedUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"Locked"," - ","","","","bit","{n/a}",""
"LockedDateTime"," - ","","","","datetime","{n/a}",""
"LockedUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"RecordStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"TransferToActionDateTime"," - ","","","","datetime","{n/a}",""
"TransferToActionUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"TransferToDateTime"," - ","","","","datetime","{n/a}",""
"TransferToSiteCode"," - ","10","","","varchar(10)","{n/a}",""
"TransferToCaseId"," - ","","","","int","{n/a}",""
"TransferFromActionDateTime"," - ","","","","datetime","{n/a}",""
"TransferFromActionUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"TransferFromDateTime"," - ","","","","datetime","{n/a}",""
"TransferFromSiteCode"," - ","10","","","varchar(10)","{n/a}",""
"TransferFromCaseId"," - ","","","","int","{n/a}",""
"Closed"," - ","","","","bit","{n/a}",""
"MHPBSectionStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"MHPBDateNeurodevelopmentalProblemApxExcNK","Q. 1","","","","varchar(3)","Radio button list","Apx = Approximate date; Exc = Exact date; NK = Not known"
"MHPBDateNeurodevelopmentalProblem","Q. 1i","","","","datetime","Date",""
"MHPBMentalHealthProblem","Q. 2","3","","","varchar(3)","Drop down list","MoD = Mood disorder; AxD = Anxiety disorder; EmB = Emotional/ behavioural; SHm = Self harm; Oth = Other"
"MHPBMentalHealthProblemOther","Q. 2i","250","","","varchar(250)","Textbox",""
"MHPBMentalHealthProblemEmotional","Q. 2i","3","","","varchar(3)","Drop down list","CnD = Conduct disorder; ODD = Oppositional Defiant Disorder (ODD)"
