"Field name","Question number","Max field length","Minimum Value","Maximum value","Data type","Control type","Item values"
"OtherId"," - ","","","","int","{n/a}",""
"UpdateId"," - ","","","","int","{n/a}",""
"ImportId"," - ","","","","int","{n/a}",""
"ImportIdentifier"," - ","50","","","nvarchar(50)","{n/a}",""
"CreatedDateTime"," - ","","","","datetime","{n/a}",""
"CreatedUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"UpdatedDateTime"," - ","","","","datetime","{n/a}",""
"UpdatedUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"Locked"," - ","","","","bit","{n/a}",""
"LockedDateTime"," - ","","","","datetime","{n/a}",""
"LockedUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"RecordStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"TransferToActionDateTime"," - ","","","","datetime","{n/a}",""
"TransferToActionUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"TransferToDateTime"," - ","","","","datetime","{n/a}",""
"TransferToSiteCode"," - ","10","","","varchar(10)","{n/a}",""
"TransferToCaseId"," - ","","","","int","{n/a}",""
"TransferFromActionDateTime"," - ","","","","datetime","{n/a}",""
"TransferFromActionUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"TransferFromDateTime"," - ","","","","datetime","{n/a}",""
"TransferFromSiteCode"," - ","10","","","varchar(10)","{n/a}",""
"TransferFromCaseId"," - ","","","","int","{n/a}",""
"Closed"," - ","","","","bit","{n/a}",""
"AEDSectionStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"AEDGender","Q. 1","3","","","varchar(3)","{n/a}",""
"AEDType","Q. 1","3","","","varchar(3)","Drop down list","1 = Acetazolamide; 2 = ACTH; 3 = Carbamazepine; 4 = Clobazam; 5 = Clonazepam; 6 = Eslicarbazepine acetate; 7 = Ethosuximide; 8 = Gabapentin; 9 = Lacosamide; 10 = Lamotrigine; 11 = Levetiracetam; 12 = Methylprednisolone; 13 = Nitrazepam; 14 = Oxcarbazepine; 15 = Perampanel; 16 = Piracetam; 17 = Phenobarbital; 18 = Phenytoin; 19 = Pregabalin; 20 = Prednisolone; 21 = Primidone; 22 = Rufinamide; 23 = Sodium valproate; 24 = Stiripentol; 25 = Sulthiame; 26 = Tiagabine; 27 = Topiramate; 28 = Vigabatrin; 29 = Zonisamide; O = Other"
"AEDOther","Q. 1i","100","","","varchar(100)","Textbox",""
"AEDStartDate","Q. 2","","","","datetime","Date",""
"AEDStopDate","Q. 3","","","","datetime","Date",""
"AEDStopDate_NK"," - ","","","","bit","Checkbox","1 = Checked; 0 = Unchecked"
"AEDRisk","Q. 4","","","","varchar(3)","Radio button list","Y = Yes; N = No"
