"Field name","Question number","Max field length","Minimum Value","Maximum value","Data type","Control type","Item values"
"OtherId"," - ","","","","int","{n/a}",""
"UpdateId"," - ","","","","int","{n/a}",""
"ImportId"," - ","","","","int","{n/a}",""
"ImportIdentifier"," - ","50","","","nvarchar(50)","{n/a}",""
"CreatedDateTime"," - ","","","","datetime","{n/a}",""
"CreatedUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"UpdatedDateTime"," - ","","","","datetime","{n/a}",""
"UpdatedUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"Locked"," - ","","","","bit","{n/a}",""
"LockedDateTime"," - ","","","","datetime","{n/a}",""
"LockedUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"RecordStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"TransferToActionDateTime"," - ","","","","datetime","{n/a}",""
"TransferToActionUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"TransferToDateTime"," - ","","","","datetime","{n/a}",""
"TransferToSiteCode"," - ","10","","","varchar(10)","{n/a}",""
"TransferToCaseId"," - ","","","","int","{n/a}",""
"TransferFromActionDateTime"," - ","","","","datetime","{n/a}",""
"TransferFromActionUserName"," - ","256","","","nvarchar(256)","{n/a}",""
"TransferFromDateTime"," - ","","","","datetime","{n/a}",""
"TransferFromSiteCode"," - ","10","","","varchar(10)","{n/a}",""
"TransferFromCaseId"," - ","","","","int","{n/a}",""
"Closed"," - ","","","","bit","{n/a}",""
"TEENSectionStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"TEENSiteCode"," - ","10","","","varchar(10)","{n/a}",""
"TEENType","Q. 1","3","","","varchar(3)","Drop down list","1 = Driving; 2 = Contraception; 3 = Pregnancy; 4 = Adherence; 5 = Sleep hygiene; 6 = Alcohol; 7 = Recreational Drugs; 8 = Career; 9 = Bus pass; 10 = Seen on own; 11 = Self management; 12 = Goal setting; 13 = Ready; 14 = Steady; 15 = Go; 16 = Hello; 999 = Other"
"TEENTypeOther","Q. 1i","50","","","varchar(50)","Textbox",""
"TEENDate","Q. 2","","","","datetime","Date",""
"TEENProvidedBy","Q. 3","20","","","varchar(20)","Drop down list","uspx_ServiceContractList = FullDetails"
"TEENProvidedByOther","Q. 3i","100","","","varchar(100)","Textbox",""
"TEENDetails","Q. 4","250","","","varchar(250)","Textbox",""
